Symbol,Growth(%),AvgVolume,Score
PGEL,10610.072308288998,594536.2024242424,7427.228976663026
TARIL,9182.989395535875,802994.7506053268,6428.333475300294
HBLENGINE,4773.349805720202,595374.7363505748,3341.5234764250467
BSE,4436.67190541032,6511686.195318805,3107.6238396458193
CGPOWER,3759.9661151122464,1693358.776149776,2632.484288211417
MAZDOCK,3658.6978961793393,2271743.5161825726,2561.7700503803917
GPIL,3580.513787654819,696294.7455573506,2506.5685397820407
ANANTRAJ,3483.346564018469,842207.8791208791,2438.5952571766647
ELECON,3479.755410679038,693893.218989899,2436.0369554410236
SARDAEN,3394.981534054102,447955.6540016168,2376.621460534072
GRAVITA,3298.477502667279,207052.90801790802,2308.9963677395003
NAVA,2434.936995557131,883715.3450363196,1704.7210114935026
GVT&D,2387.361686664992,230245.21226795804,1671.2222542291745
APARINDS,2372.5304541251953,82156.72242572243,1660.7959649043642
DBREALTY,2265.2350500026173,1036257.3032153032,1585.9754121927967
JWL,2226.3807916434093,698701.4464794465,1558.6761645843303
OLECTRA,2101.4203363879506,442177.6996336996,1471.1268887814556
FACT,1920.912951094825,588508.3068783069,1344.815618258441
POWERINDIA,1800.6590015843492,34680.35002035002,1260.4717052140504
RVNL,1632.8813407050216,8502757.455433456,1145.567765730145
TTML,1577.2727623705043,3903120.539275539,1105.2618698211356
TITAGARH,1571.2642007526936,758820.984940985,1100.1125868223678
JSL,1470.0904147793494,854915.0276760277,1029.3197648538473
ADANIPOWER,1449.6740845870127,6682853.560439561,1016.7767152790407
KIRLOSBROS,1448.0282251388367,84359.25763125763,1013.645065374475
JBMA,1411.9944873410584,356720.53268765134,988.5031572985472
SUZLON,1385.025316543021,48699751.55840456,984.1276470476361
KPITTECH,1362.362817897347,800509.4411884412,953.8941253604994
ACE,1334.3800724795417,296019.47985347983,934.1548565796352
SOLARINDS,1268.4255418075659,48067.298331298334,887.9122994547954
